SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,7029917,7022220,6984723
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28699,28641,28494
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,17367,17345,17269
162,25,000,01370,00000,00000,0,A,Amherst Town city,Massachusetts,39470,39489,39378
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,46429,46445,46580
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,48923,48919,49583
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,42714,42657,42446
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,676216,674272,654776
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,39168,39117,38822
162,25,000,08130,00000,00000,0,A,Bridgewater Town city,Massachusetts,28432,28447,28805
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,105652,105579,105446
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,117779,117699,117090
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,40615,40428,38889
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55576,55481,55190
162,25,000,19370,00000,00000,0,A,Easthampton Town city,Massachusetts,16180,16131,16022
162,25,000,21990,00000,00000,0,A,Everett city,Massachusetts,49165,49008,48557
162,25,000,23000,00000,00000,0,A,Fall River city,Massachusetts,93938,93885,93884
162,25,000,23875,00000,00000,0,A,Fitchburg city,Massachusetts,41945,41872,41732
162,25,000,24960,00000,00000,0,A,Framingham city,Massachusetts,72342,72162,71265
162,25,000,25172,00000,00000,0,A,Franklin Town city,Massachusetts,33243,33227,33036
162,25,000,25485,00000,00000,0,A,Gardner city,Massachusetts,21288,21252,21191
162,25,000,26150,00000,00000,0,A,Gloucester city,Massachusetts,29726,29750,29952
162,25,000,27060,00000,00000,0,A,Greenfield city,Massachusetts,17687,17669,17652
162,25,000,29405,00000,00000,0,A,Haverhill city,Massachusetts,67764,67690,67361
162,25,000,30840,00000,00000,0,A,Holyoke city,Massachusetts,38247,38164,37929
162,25,000,34550,00000,00000,0,A,Lawrence city,Massachusetts,89152,89024,88508
162,25,000,35075,00000,00000,0,A,Leominster city,Massachusetts,43782,43744,43613
162,25,000,37000,00000,00000,0,A,Lowell city,Massachusetts,115441,115264,113994
162,25,000,37490,00000,00000,0,A,Lynn city,Massachusetts,101238,101118,100843
162,25,000,37875,00000,00000,0,A,Malden city,Massachusetts,66353,66114,65074
162,25,000,38715,00000,00000,0,A,Marlborough city,Massachusetts,41838,41700,41110
162,25,000,39835,00000,00000,0,A,Medford city,Massachusetts,59662,60425,62098
162,25,000,40115,00000,00000,0,A,Melrose city,Massachusetts,29860,29756,29312
162,25,000,40710,00000,00000,0,A,Methuen Town city,Massachusetts,53026,52999,52798
162,25,000,45000,00000,00000,0,A,New Bedford city,Massachusetts,101044,100970,100941
162,25,000,45245,00000,00000,0,A,Newburyport city,Massachusetts,18290,18313,18295
162,25,000,45560,00000,00000,0,A,Newton city,Massachusetts,88787,88624,87453
162,25,000,46225,00000,00000,0,A,North Adams city,Massachusetts,12962,12924,12880
162,25,000,46330,00000,00000,0,A,Northampton city,Massachusetts,29549,29473,29311
162,25,000,46598,00000,00000,0,A,North Attleborough Town city,Massachusetts,30795,30787,30854
162,25,000,52144,00000,00000,0,A,Palmer Town city,Massachusetts,12460,12433,12372
162,25,000,52490,00000,00000,0,A,Peabody city,Massachusetts,54486,54410,54119
162,25,000,53960,00000,00000,0,A,Pittsfield city,Massachusetts,43917,43786,43641
162,25,000,55745,00000,00000,0,A,Quincy city,Massachusetts,101685,101606,101119
162,25,000,56000,00000,00000,0,A,Randolph Town city,Massachusetts,34995,34955,34715
162,25,000,56585,00000,00000,0,A,Revere city,Massachusetts,61878,61565,59075
162,25,000,59105,00000,00000,0,A,Salem city,Massachusetts,44501,44514,44819
162,25,000,62535,00000,00000,0,A,Somerville city,Massachusetts,81054,80842,79815
162,25,000,63345,00000,00000,0,A,Southbridge Town city,Massachusetts,17741,17711,17657
162,25,000,67000,00000,00000,0,A,Springfield city,Massachusetts,155913,155556,154789
162,25,000,69170,00000,00000,0,A,Taunton city,Massachusetts,59359,59428,59600
162,25,000,72600,00000,00000,0,A,Waltham city,Massachusetts,64994,64817,64015
162,25,000,73440,00000,00000,0,A,Watertown Town city,Massachusetts,35374,35378,35149
162,25,000,76030,00000,00000,0,A,Westfield city,Massachusetts,40795,40728,40575
162,25,000,77890,00000,00000,0,A,West Springfield Town city,Massachusetts,28843,28793,28629
162,25,000,78972,00000,00000,0,A,Weymouth Town city,Massachusetts,57513,57568,57670
162,25,000,81005,00000,00000,0,A,Winthrop Town city,Massachusetts,19227,19166,18505
162,25,000,81035,00000,00000,0,A,Woburn city,Massachusetts,40934,40849,41056
162,25,000,82000,00000,00000,0,A,Worcester city,Massachusetts,206601,206242,205918
050,25,001,00000,00000,00000,0,A,Barnstable County,Massachusetts,228996,228969,232411
157,25,001,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,48923,48919,49583
157,25,001,99990,00000,00000,0,F,Balance of Barnstable County,Massachusetts,180073,180050,182828
061,25,001,00000,03690,00000,0,F,Barnstable Town city,Massachusetts,48923,48919,49583
071,25,001,03690,03690,00000,1,A,Barnstable Town city,Massachusetts,48923,48919,49583
061,25,001,00000,07175,00000,1,A,Bourne town,Massachusetts,20406,20398,20709
061,25,001,00000,07980,00000,1,A,Brewster town,Massachusetts,10322,10318,10456
061,25,001,00000,12995,00000,1,A,Chatham town,Massachusetts,6597,6597,6703
061,25,001,00000,16775,00000,1,A,Dennis town,Massachusetts,14683,14682,14903
061,25,001,00000,19295,00000,1,A,Eastham town,Massachusetts,5758,5755,5832
061,25,001,00000,23105,00000,1,A,Falmouth town,Massachusetts,32538,32557,33128
061,25,001,00000,29020,00000,1,A,Harwich town,Massachusetts,13441,13437,13629
061,25,001,00000,39100,00000,1,A,Mashpee town,Massachusetts,15062,15066,15357
061,25,001,00000,51440,00000,1,A,Orleans town,Massachusetts,6309,6310,6411
061,25,001,00000,55500,00000,1,A,Provincetown town,Massachusetts,3662,3660,3708
061,25,001,00000,59735,00000,1,A,Sandwich town,Massachusetts,20270,20263,20585
061,25,001,00000,70605,00000,1,A,Truro town,Massachusetts,2449,2449,2486
061,25,001,00000,74385,00000,1,A,Wellfleet town,Massachusetts,3565,3564,3635
061,25,001,00000,82525,00000,1,A,Yarmouth town,Massachusetts,25011,24994,25286
050,25,003,00000,00000,00000,0,N,Berkshire County,Massachusetts,129026,128758,128657
157,25,003,46225,00000,00000,0,A,North Adams city,Massachusetts,12962,12924,12880
157,25,003,53960,00000,00000,0,A,Pittsfield city,Massachusetts,43917,43786,43641
157,25,003,99990,00000,00000,0,F,Balance of Berkshire County,Massachusetts,72147,72048,72136
061,25,003,00000,00555,00000,1,A,Adams town,Massachusetts,8151,8127,8100
061,25,003,00000,00975,00000,1,A,Alford town,Massachusetts,486,485,484
061,25,003,00000,04545,00000,1,A,Becket town,Massachusetts,1935,1930,1932
061,25,003,00000,13345,00000,1,A,Cheshire town,Massachusetts,3256,3246,3236
061,25,003,00000,14010,00000,1,A,Clarksburg town,Massachusetts,1654,1649,1649
061,25,003,00000,16180,00000,1,A,Dalton town,Massachusetts,6325,6307,6290
061,25,003,00000,21360,00000,1,A,Egremont town,Massachusetts,1371,1368,1371
061,25,003,00000,24120,00000,1,A,Florida town,Massachusetts,691,689,685
061,25,003,00000,26815,00000,1,A,Great Barrington town,Massachusetts,7186,7185,7164
061,25,003,00000,28180,00000,1,A,Hancock town,Massachusetts,754,752,751
061,25,003,00000,30315,00000,1,A,Hinsdale town,Massachusetts,1915,1911,1908
061,25,003,00000,34340,00000,1,A,Lanesborough town,Massachusetts,3040,3033,3027
061,25,003,00000,34655,00000,1,A,Lee town,Massachusetts,5786,5770,5755
061,25,003,00000,34970,00000,1,A,Lenox town,Massachusetts,5101,5093,5099
061,25,003,00000,42460,00000,1,A,Monterey town,Massachusetts,1096,1093,1092
061,25,003,00000,43300,00000,1,A,Mount Washington town,Massachusetts,160,159,159
061,25,003,00000,44385,00000,1,A,New Ashford town,Massachusetts,248,247,248
061,25,003,00000,45420,00000,1,A,New Marlborough town,Massachusetts,1527,1523,1518
061,25,003,00000,46225,00000,0,F,North Adams city,Massachusetts,12962,12924,12880
071,25,003,46225,46225,00000,1,A,North Adams city,Massachusetts,12962,12924,12880
061,25,003,00000,51580,00000,1,A,Otis town,Massachusetts,1634,1630,1629
061,25,003,00000,53050,00000,1,A,Peru town,Massachusetts,809,807,804
