OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Zone_Desc,Shape_STArea_1,Shape_STLength_1,Urban_Label,Shape__Area,Shape__Length
3303,CC,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood CC,3,Community Commercial,127192.13427734,1510.63454346,CCART59,127192.134277344,1510.63454346136
3304,WM,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood WM,2,Waterfront Manufacturing,4124600.01220703,9298.48112247,WMART68,4124600.01220703,9298.48112247346
3305,M-4,South Boston,4,Underlying Zoning,Industrial,South Boston M-4,4,Restricted Manufacturing,465229.8605957,3324.93285843,M4ARTUZ,465229.860595703,3324.93285842624
3306,D St. NDA,South Boston Neighborhood,4F,68,Mixed Use,South Boston Neighborhood D St. NDA,2,Neighborhood Development Area,682698.35986328,5332.15865836,DSNDAART68,682698.359863281,5332.15865835724
3307,SUMMER ST. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood Summer St. LI,3,Local Industrial,570863.38037109,3059.38469981,SSLIART68,570863.380371094,3059.38469980719
3308,E St. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood E St. LI,2,Local Industrial,605318.21484375,5060.14417902,ESLIART68,605318.21484375,5060.14417901669
3309,WC,South Boston Neighborhood,4F,68,Business,South Boston Neighborhood WC,2,Waterfront Commercial,339570.20483398,2778.8187937,WCART68,339570.204833984,2778.81879370252
3310,I-2,South Boston,4,Underlying Zoning,Industrial,South Boston I-2,2,General Industrial,3342126.45239258,9555.29980782,I2ARTUZ,3342126.45239258,9555.29980782038
3311,First St. LI,South Boston Neighborhood,4F,68,Industrial,South Boston Neighborhood First St. LI,2,Local Industrial,1006032.92382813,6885.16364681,FSLIART68,1006032.92382812,6885.16364680996
3312,EDA CENTRAL,South End Neighborhood,1P,64,Miscellaneous,South End Neighborhood EDA CENTRAL,4,Economic Development Area,1325781.25439453,9045.95780337,EDACENTRALART64,1325781.25439453,9045.95780336776
3313,SOUTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood SOUTH BOYLSTON NS-3,5,Neighborhood Shopping,44486.20629883,966.69235186,SBNS3ART66,44486.2062988281,966.692351857148
3314,NORTH BOYLSTON NS-3,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood NORTH BOYLSTON NS-3,5,Neighborhood Shopping,120397.20605469,1691.44482846,NBNS3ART66,120397.206054688,1691.44482846172
3315,OS-CM,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-CM,,Cemetery Open Space,51823.29345703,1086.21947711,OSCMART62,51823.2934570312,1086.21947710875
3316,OS-UP,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-UP,,Urban Plaza Open Space,16888.71850586,615.42352935,OSUPART62,16888.7185058594,615.42352935318
3317,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,Row House Residential,58037.76757813,1152.96186899,RH2000ART62,58037.767578125,1152.96186899352
3318,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,Row House Residential,59374.25463867,1091.87364299,RH2000ART62,59374.2546386719,1091.87364299422
3319,OS-P,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-P,,Parkland Open Space,215836.47680664,1862.00308498,OSPART62,215836.476806641,1862.00308497965
3320,OS-P,Charlestown Neighborhood,2E,62,Open Space,Charlestown Neighborhood OS-P,,Parkland Open Space,63153.72607422,1011.71128151,OSPART62,63153.7260742188,1011.71128150724
3321,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,Row House Residential,95044.14599609,1439.15669235,RH2000ART62,95044.1459960938,1439.15669235234
3322,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,Row House Residential,31906.99023438,921.58011675,RH1500ART62,31906.990234375,921.580116751972
3323,RH-2000,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-2000,2,Row House Residential,63479.94458008,1157.68304561,RH2000ART62,63479.9445800781,1157.6830456086
3324,RH-1500,Charlestown Neighborhood,2E,62,Residential,Charlestown Neighborhood RH-1500,2,Row House Residential,37190.67651367,911.52777656,RH1500ART62,37190.6765136719,911.527776563178
3325,NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront NEPOSET SHORELAND OPEN SPACE SUBDISTRICT,,Shoreland Open Space,5737915.10449219,15273.480626,NSOSSART42A,5737915.10449219,15273.4806259961
3326,CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront CEDAR GROVE GENERAL BUSINESS SUBDISTRICT,1,General Business,36820.43432617,996.73875636,CGGBSART42A,36820.4343261719,996.738756356008
3327,NEPONSET RIVER RESIDENTIAL SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront NEPONSET RIVER RESIDENTIAL SUBDISTRICT,1,Residential,405078.99682617,3161.2875315,NRRSART42A,405078.996826172,3161.2875315002
3328,LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront LOWER MILLS SHORELAND OPEN SPACE SUBDISTRICT,,Shoreland Open Space,5080831.22167969,12492.66103827,LMSOSSART42A,5080831.22167969,12492.6610382674
3329,OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront OS-SL,,Shoreland Open Space,11015930.1958008,17383.20551835,OSSLART42A,11015930.1958008,17383.2055183472
3330,CLAM POINT WATERFRONT SERVICE,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront CLAM POINT WATERFRONT SERVICE,1,Waterfront Service,5435741.88378906,12973.84146093,CPWSART42A,5435741.88378906,12973.8414609262
3331,OS-SL,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Open Space,Harborpark: Dorchester Bay/Neponset River Waterfront OS-SL,,Shoreland Open Space,1986481.52026367,6150.05019508,OSSLART42A,1986481.52026367,6150.05019508309
3332,OS-UW,Greater Mattapan Neighborhood,8ABC,60,Open Space,Greater Mattapan Neighborhood OS-UW,,Urban Wild Open Space,423907.68115234,3123.86697142,OS,423907.681152344,3123.86697142341
3333,2F-3000,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood 2F-3000,0.8,Two-Family Residential,1403944.51660156,6098.29966321,2F3000ART60A,1403944.51660156,6098.29966320698
3334,MFR,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood MFR,0.9,Multifamily Residential,276363.71801758,2094.23521284,MFRART60A,276363.718017578,2094.23521283812
3335,NS,Greater Mattapan Neighborhood,8ABC,60,Business,Greater Mattapan Neighborhood NS,1,Neighborhood Shopping,737050.12915039,6084.71247374,NSART60,737050.129150391,6084.71247373519
3336,LI,Greater Mattapan Neighborhood,8ABC,60,Industrial,Greater Mattapan Neighborhood LI,1,Local Industrial,407132.69165039,4130.49549918,LIART60,407132.691650391,4130.49549917848
3337,MFR,Greater Mattapan Neighborhood,8ABC,60,Residential,Greater Mattapan Neighborhood MFR,0.9,Multifamily Residential,1243357.7578125,5490.8201114,MFRART60A,1243357.7578125,5490.82011139975
3338,DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,Harborpark: Dorchester Bay/Neponset River Waterfront,"4B-4D, 5F-5H",42A,Business,Harborpark: Dorchester Bay/Neponset River Waterfront DORCHESTER BAY WATERFRONT SERVICE SUBDISTRICT,1,Waterfront Service,692741.91381836,3362.85326913,DBWSSART42A,692741.913818359,3362.85326913418
3339,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Jamaica Plain Neighborhood CPS,0.3,Conservation Protection,708648.72412109,4178.63333146,CPSART55,708648.724121094,4178.63333146242
3340,1F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 1F-5000,0.5,One-Family Residential,647569.05102539,4498.14423392,1F5000ART55A,647569.051025391,4498.14423392362
3341,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 2F-5000,0.6,Two-Family Residential,148146.28076172,1601.10190611,2F5000ART55A,148146.280761719,1601.10190611198
3342,OS-BZ,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Jamaica Plain Neighborhood OS-BZ,,Botanical/Zoological Garden Open Space,332599.86108398,3296.02849492,OSBZART55,332599.861083984,3296.02849492046
3343,2F-7000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 2F-7000,0.5,Two-Family Residential,225427.40917969,3087.60234087,2F7000ART55A,225427.409179688,3087.60234086842
3344,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 2F-5000,0.6,Two-Family Residential,1114107.38671875,5384.04961612,2F5000ART55A,1114107.38671875,5384.0496161207
3345,1F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 1F-4000,0.6,One-Family Residential,285684.96435547,2304.0603154,1F4000ART55A,285684.964355469,2304.06031539641
3346,2F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 2F-5000,0.6,Two-Family Residential,1151695.50390625,5373.54500429,2F5000ART55A,1151695.50390625,5373.54500429447
3347,1F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 1F-4000,0.6,One-Family Residential,2147236.64868164,7635.83628394,1F4000ART55A,2147236.64868164,7635.83628394232
3348,3F-4000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 3F-4000,0.8,Three-Family Residential,436898.03149414,4041.92989637,3F4000ART55A,436898.031494141,4041.92989636843
3349,OS-RC,Jamaica Plain Neighborhood,9A-9C,55,Open Space,Jamaica Plain Neighborhood OS-RC,,Recreation Open Space,174474.69458008,1868.06543,OSRCART55,174474.694580078,1868.06543000186
3350,MFR,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood MFR,1,Multifamily Residential,122846.51391602,1831.30391553,MFRART55A,122846.513916016,1831.30391553148
3351,3F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 3F-5000,0.6,Three-Family Residential,2505221.57983398,13421.51052837,3F5000ART55A,2505221.57983398,13421.5105283736
3352,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Jamaica Plain Neighborhood CPS,0.3,Conservation Protection,4440154.50341797,10750.86106003,CPSART55,4440154.50341797,10750.8610600334
3353,1F-9000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 1F-9000,0.3,One-Family Residential,9503419.51538086,20331.86580879,1F9000ART55A,9503419.51538086,20331.8658087896
3354,IDA,Jamaica Plain Neighborhood,9A-9C,55,Industrial,Jamaica Plain Neighborhood IDA,2,Industrial Development Area,294231.92993164,3221.02269695,IDAART55,294231.929931641,3221.02269694966
3355,NI,Jamaica Plain Neighborhood,9A-9C,55,Comm/Instit,Jamaica Plain Neighborhood NI,0.6,Neighborhood Institutional,846830.0925293,3833.30462663,NIART55,846830.092529297,3833.30462662859
3356,LC,Jamaica Plain Neighborhood,9A-9C,55,Business,Jamaica Plain Neighborhood LC,1,Local Convenience,506440.91601563,6665.27056707,LCART55,506440.916015625,6665.27056707391
3357,CPS,Jamaica Plain Neighborhood,9A-9C,55,Miscellaneous,Jamaica Plain Neighborhood CPS,0.3,Conservation Protection,1162697.10009766,4606.17019102,CPSART55,1162697.10009766,4606.17019102187
3358,3F-5000,Jamaica Plain Neighborhood,9A-9C,55,Residential,Jamaica Plain Neighborhood 3F-5000,0.6,Three-Family Residential,3380636.75585938,20080.84095609,3F5000ART55A,3380636.75585938,20080.840956094
3359,2F-5000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 2F-5000,0.5,Two-Family Residential,23072986.6274414,60611.0923638,2F5000ART67A,23072986.6274414,60611.0923638002
3360,IS,Roslindale Neighborhood,10A-10B,67,Comm/Instit,Roslindale Neighborhood IS,0.4,Institutional,536060.45922852,3198.02348451,ISART67,536060.459228516,3198.02348451142
3361,CPS,Roslindale Neighborhood,10A-10B,67,Miscellaneous,Roslindale Neighborhood CPS,0.3,Conservation Protection,756254.65478516,4337.39817734,CPSART67,756254.654785156,4337.39817733508
3362,1F-6000,Roslindale Neighborhood,10A-10B,67,Residential,Roslindale Neighborhood 1F-6000,0.5,One-Family Residential,439620.53637695,4787.19728101,1F6000ART67A,439620.536376953,4787.19728100509
3363,OS-CM,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-CM,,Cemetery Open Space,37521.21557617,872.91138533,OSCMART67,37521.2155761719,872.911385333254
3364,OS-UW,Roslindale Neighborhood,10A-10B,67,Open Space,Roslindale Neighborhood OS-UW,,Urban Wild Open Space,308929.44335938,5159.54527575,OSUWART67,308929.443359375,5159.54527575216
